age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
25,3,1,7,4,6,3,2,1,0.0,0.0,40,38,0
38,3,11,9,2,4,0,4,1,0.0,0.0,50,38,0
28,1,7,12,2,10,0,4,1,0.0,0.0,40,38,1
44,3,15,10,2,6,0,2,1,8.94754601503218,0.0,40,38,1
18,7,15,10,4,14,3,4,0,0.0,0.0,30,38,0
34,3,0,6,4,7,1,4,1,0.0,0.0,30,38,0
29,7,11,9,4,14,4,2,1,0.0,0.0,40,38,0
63,5,14,15,2,9,0,4,1,8.04044688130311,0.0,32,38,1
24,3,15,10,4,7,4,4,0,0.0,0.0,40,38,0
55,3,5,4,2,2,0,4,1,0.0,0.0,10,38,0
65,3,11,9,2,6,0,4,1,8.767017621311778,0.0,40,38,1
36,0,9,13,2,0,0,4,1,0.0,0.0,40,38,0
26,3,11,9,4,0,1,4,0,0.0,0.0,39,38,0
58,7,11,9,2,14,0,4,1,0.0,0.0,35,38,0
48,3,11,9,2,6,0,4,1,8.04044688130311,0.0,48,38,1
43,3,12,14,2,3,0,4,1,0.0,0.0,50,38,1
20,6,15,10,4,7,3,4,1,0.0,0.0,25,38,0
43,3,11,9,2,0,5,4,0,0.0,0.0,30,38,0
37,3,11,9,6,6,4,4,0,0.0,0.0,20,38,0
40,3,10,16,2,9,0,1,1,0.0,0.0,45,38,1
34,3,9,13,2,12,0,4,1,0.0,0.0,47,38,1
34,3,15,10,4,7,3,2,0,0.0,0.0,35,38,0
72,7,5,4,0,14,1,4,0,0.0,0.0,6,38,0
25,3,9,13,4,9,1,4,1,0.0,0.0,43,28,0
25,3,9,13,2,9,0,4,1,0.0,0.0,40,38,0
45,5,11,9,2,2,0,4,1,8.895492631451633,0.0,90,38,1
22,3,11,9,4,0,3,4,1,0.0,0.0,20,38,0
23,3,11,9,5,6,4,2,1,0.0,0.0,54,38,0
54,3,11,9,2,2,0,4,1,0.0,0.0,35,38,0
32,5,15,10,4,9,1,4,1,0.0,0.0,60,38,0
46,6,15,10,2,3,0,2,1,8.94754601503218,0.0,38,38,1
56,5,1,7,6,7,4,4,0,0.0,0.0,50,38,0
24,5,9,13,4,11,1,4,1,0.0,0.0,50,38,0
23,1,15,10,2,10,0,4,1,0.0,0.0,40,38,0
26,3,11,9,0,3,4,4,0,0.0,0.0,40,38,0
65,7,11,9,2,14,0,4,1,0.0,0.0,40,38,0
36,1,9,13,2,9,0,4,1,0.0,0.0,40,38,1
22,3,4,3,4,8,1,4,1,0.0,0.0,50,12,0
17,3,0,6,4,6,1,4,1,0.0,0.0,40,38,0
20,3,11,9,4,2,3,4,1,0.0,0.0,40,38,0
65,3,12,14,2,9,0,4,1,0.0,0.0,50,38,1
44,4,8,11,2,11,0,4,1,0.0,0.0,45,38,1
36,3,11,9,2,4,0,4,1,0.0,0.0,40,38,0
29,3,1,7,2,7,0,4,1,0.0,0.0,40,38,0
20,6,15,10,4,4,3,4,1,0.0,0.0,32,38,0
28,3,8,11,2,9,5,4,0,0.0,0.0,36,38,1
39,3,5,4,2,2,0,4,1,0.0,0.0,40,25,0
54,3,15,10,2,13,0,4,1,8.271036865792954,0.0,50,38,0
52,3,1,7,5,8,1,2,0,0.0,0.0,18,38,0
56,4,11,9,6,3,1,4,0,0.0,0.0,50,38,0
18,3,15,10,4,7,3,4,1,0.0,0.0,20,38,0
